step,timestamp,predicted,actual,error,absolute_error,percentage_error,status,adaptation,reason,baseline_error,current_error,anomaly
0,2025-05-05,10.00204133171604,19.046152433951697,9.044111102235657,9.044111102235657,47.485239518054115,NORMAL,HOLD MODEL,Building baseline,,9.044111102235657,False
1,2025-05-06,18.544574457910507,14.711488177378971,-3.8330862805315356,3.8330862805315356,26.055054623402796,NORMAL,HOLD MODEL,Building baseline,,3.8330862805315356,False
2,2025-05-07,13.420816091368131,13.975076676209769,0.5542605848416375,0.5542605848416375,3.9660647142292498,NORMAL,HOLD MODEL,Building baseline,,0.5542605848416375,False
3,2025-05-08,14.300918483680391,18.5737982861201,4.272879802439707,4.272879802439707,23.004878897779147,NORMAL,HOLD MODEL,Building baseline,,4.272879802439707,False
4,2025-05-09,16.44665779330973,19.18512682437897,2.73846903106924,2.73846903106924,14.273916748829652,NORMAL,HOLD MODEL,Building baseline,,2.73846903106924,False
5,2025-05-10,16.150854756704625,18.300590040683748,2.1497352839791226,2.1497352839791226,11.746808595788883,NORMAL,HOLD MODEL,Building baseline,,2.1497352839791226,False
6,2025-05-11,16.55742568008684,16.082270002762478,-0.4751556773243628,0.4751556773243628,2.9545311528953597,NORMAL,HOLD MODEL,Building baseline,,0.4751556773243628,False
7,2025-05-12,15.132430789704246,16.59629673798879,1.4638659482845444,1.4638659482845444,8.820437302339666,NORMAL,HOLD MODEL,Building baseline,,1.4638659482845444,False
8,2025-05-13,16.052418712915173,14.81333249648412,-1.239086216431053,1.239086216431053,8.364668900297383,NORMAL,HOLD MODEL,Building baseline,,1.239086216431053,False
9,2025-05-14,14.429664271603036,16.929676589568455,2.5000123179654192,2.5000123179654192,14.767041205653332,NORMAL,HOLD MODEL,Building baseline,,2.5000123179654192,False
10,2025-05-15,16.40863001921452,18.332979859113696,1.9243498398991754,1.9243498398991754,10.496656052030419,NORMAL,HOLD MODEL,Building baseline,,1.9243498398991754,False
11,2025-05-16,16.895649545981712,17.740216576258344,0.8445670302766324,0.8445670302766324,4.7607481376913565,NORMAL,HOLD MODEL,Building baseline,,0.8445670302766324,False
12,2025-05-17,16.7854919960494,18.161615744431813,1.3761237483824118,1.3761237483824118,7.577099789727237,NORMAL,HOLD MODEL,Building baseline,,1.3761237483824118,False
13,2025-05-18,16.59502329347288,13.664606670935948,-2.9304166225369332,2.9304166225369332,21.445305328618115,NORMAL,HOLD MODEL,Building baseline,,2.9304166225369332,False
14,2025-05-19,13.80193530593321,12.918978421638409,-0.882956884294801,0.882956884294801,6.8345720186041055,NORMAL,HOLD MODEL,Building baseline,,0.882956884294801,False
15,2025-05-20,14.123261327759437,7.667321667671204,-6.455939660088233,6.455939660088233,84.20071492903853,NORMAL,HOLD MODEL,Building baseline,,6.455939660088233,False
16,2025-05-21,10.126745828510256,8.125982501506806,-2.0007633270034493,2.0007633270034493,24.62180206064247,NORMAL,HOLD MODEL,Building baseline,,2.0007633270034493,False
17,2025-05-22,11.541899131823433,9.79314576427142,-1.7487533675520126,1.7487533675520126,17.8569114526206,NORMAL,HOLD MODEL,Building baseline,,1.7487533675520126,False
18,2025-05-23,12.001591854085788,10.49703582127889,-1.5045560328068976,1.5045560328068976,14.333151362187046,NORMAL,HOLD MODEL,Building baseline,,1.5045560328068976,False
